Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Potential_Yield,Yield_Gap,Gap_Trend
Rice,2003,Summer     ,Assam,319480.0,573189,2213.7,31622130.4,76675.2,1.493913043,2.4883846153999998,0.9944715723999997,-0.028511385842826392
Rice,2003,Winter     ,Assam,1769203.0,2877371,2213.7,175115712.9,424608.72,1.618695652,2.4883846153999998,0.8696889633999998,-0.028511385842826392
Wheat,2003,Rabi       ,Assam,69954.0,73186,2213.7,6924046.92,16788.96,1.040909091,1.2713466664000002,0.2304375754000001,-0.0038919316481200567
Rice,2003,Kharif     ,Karnataka,944272.0,2100123,867.6,93464042.56,226625.28,2.133333333,2.9473214288,0.8139880958000001,-0.02526597494249578
Rice,2003,Rabi       ,Karnataka,54629.0,158046,867.6,5407178.42,13110.96,2.892,2.9473214288,0.05532142880000013,-0.02526597494249578
Wheat,2003,Rabi       ,Karnataka,231994.0,96150,867.6,22962766.12,55678.56,0.516428571,1.0787142858,0.5622857148000001,-0.014056544149348503
Rice,2003,Autumn     ,Kerala,102770.0,220132,2386.0,10172174.6,24664.8,2.140769231,2.6717857145,0.5310164834999997,-0.015183233252785226
Rice,2003,Summer     ,Kerala,37186.0,83239,2386.0,3680670.28,8924.64,1.845,2.6717857145,0.8267857144999999,-0.015183233252785226
Rice,2003,Winter     ,Kerala,147384.0,266674,2386.0,14588068.32,35372.16,1.960714286,2.6717857145,0.7110714284999999,-0.015183233252785226
Rice,2003,Kharif     ,Meghalaya,109721.0,200703,3321.3,10860184.58,26333.04,1.798571429,2.5521818184,0.7536103893999997,-0.04611595517529644
Wheat,2003,Rabi       ,Meghalaya,862.0,1540,3321.3,85320.76,206.88,1.49,1.6378,0.14779999999999993,-0.00508177570093457
Rice,2003,Kharif     ,Puducherry,25065.0,67003,1434.5875,2480933.7,6015.6,2.993333333,3.5283333335,0.5350000005000002,-0.026797647981538435
Rice,2003,Kharif     ,Tamil Nadu,1396651.0,3222776,345.6,138240516.0,335196.24,2.728214286,4.2939447004,1.5657304144,-0.03916288575278614
Rice,2003,Autumn     ,West Bengal,339753.0,719205,1526.7,33628751.94,81540.72,2.131666667,3.1652222222,1.0335555552,-0.02538314263621085
Rice,2003,Summer     ,West Bengal,1390148.0,4289454,1526.7,137596849.0,333635.52,2.879444444,3.1652222222,0.28577777819999994,-0.02538314263621085
Rice,2003,Winter     ,West Bengal,4126706.0,9653580,1526.7,408461359.9,990409.44,2.283333333,3.1652222222,0.8818888892000003,-0.02538314263621085
Wheat,2003,Rabi       ,West Bengal,425721.0,985686,1526.7,42137864.58,102173.04,2.194444444,2.603,0.40855555600000004,-0.02663665735044556
Rice,2004,Kharif     ,Karnataka,1055061.0,2627561,1117.7,114305308.7,221562.81,2.37,2.9473214288,0.5773214287999999,-0.02526597494249578
Wheat,2004,Rabi       ,Karnataka,241991.0,206296,1117.7,26217304.94,50818.11,0.845333333,1.0787142858,0.23338095280000004,-0.014056544149348503
Rice,2004,Autumn     ,Kerala,105349.0,241824,2880.2,11413510.66,22123.29,2.271538462,2.6717857145,0.4002472524999998,-0.015183233252785226
Rice,2004,Summer     ,Kerala,35732.0,89752,2880.2,3871204.88,7503.72,2.256923077,2.6717857145,0.41486263749999974,-0.015183233252785226
Rice,2004,Winter     ,Kerala,148893.0,335529,2880.2,16131067.62,31267.53,2.175714286,2.6717857145,0.4960714285000001,-0.015183233252785226
Rice,2004,Autumn     ,Meghalaya,32667.0,37766,4767.9,3539142.78,6860.07,1.492857143,2.5521818184,1.0593246753999999,-0.04611595517529644
Rice,2004,Summer     ,Meghalaya,9224.0,37439,4767.9,999328.16,1937.04,2.078333333,2.5521818184,0.4738484854,-0.04611595517529644
Rice,2004,Winter     ,Meghalaya,69659.0,118514,4767.9,7546856.06,14628.39,1.792857143,2.5521818184,0.7593246753999998,-0.04611595517529644
Wheat,2004,Rabi       ,Meghalaya,863.0,1564,4767.9,93497.42,181.23,1.156666667,1.6378,0.48113333299999983,-0.00508177570093457
Rice,2004,Kharif     ,Tamil Nadu,1872822.0,5061622,1034.0,202901535.5,393292.62,3.015172414,4.2939447004,1.2787722864000002,-0.03916288575278614
Rice,2005,Kharif     ,Andhra Pradesh,2526108.0,6376990,1075.5,302930871.4,530482.68,2.549090909,3.606538462,1.0574475530000003,-0.040348145789222745
Rice,2005,Rabi       ,Andhra Pradesh,1455643.0,5326634,1075.5,174560708.6,305685.03,3.132272727,3.606538462,0.4742657349999999,-0.040348145789222745
Wheat,2005,Rabi       ,Andhra Pradesh,11109.0,8891,1075.5,1332191.28,2332.89,0.774,1.2896666668999999,0.5156666668999998,0.0010057755036590808
Rice,2005,Autumn     ,Assam,398316.0,398077,2184.6,47766054.72,83646.36,1.132222222,2.4883846153999998,1.3561623933999998,-0.028511385842826392
Rice,2005,Summer     ,Assam,314671.0,559969,2184.6,37735346.32,66080.91,1.637692308,2.4883846153999998,0.8506923073999997,-0.028511385842826392
Rice,2005,Winter     ,Assam,1707340.0,2594392,2184.6,204744212.8,358541.4,1.502592593,2.4883846153999998,0.9857920223999999,-0.028511385842826392
Wheat,2005,Rabi       ,Assam,49961.0,53735,2184.6,5991323.12,10491.81,1.084230769,1.2713466664000002,0.18711589740000023,-0.0038919316481200567
Rice,2005,Kharif     ,Karnataka,1075993.0,2770413,1316.2,129033080.6,225958.53,2.50962963,2.9473214288,0.4376917988,-0.02526597494249578
Rice,2005,Rabi       ,Karnataka,44944.0,97483,1316.2,5389684.48,9438.24,2.2675,2.9473214288,0.6798214288,-0.02526597494249578
Wheat,2005,Rabi       ,Karnataka,252588.0,226369,1316.2,30290352.96,53043.48,0.880714286,1.0787142858,0.19799999980000005,-0.014056544149348503
Rice,2005,Autumn     ,Kerala,98256.0,212520,3030.9,11782859.52,20633.76,2.096923077,2.6717857145,0.5748626374999999,-0.015183233252785226
Rice,2005,Summer     ,Kerala,21857.0,59733,3030.9,2621091.44,4589.97,2.345714286,2.6717857145,0.3260714284999997,-0.015183233252785226
Rice,2005,Winter     ,Kerala,155629.0,357734,3030.9,18663029.68,32682.09,2.189285714,2.6717857145,0.48250000049999997,-0.015183233252785226
Rice,2005,Autumn     ,Meghalaya,32678.0,43762,3374.4,3918745.76,6862.38,1.597142857,2.5521818184,0.9550389613999999,-0.04611595517529644
Rice,2005,Summer     ,Meghalaya,9791.0,39910,3374.4,1174136.72,2056.11,2.245,2.5521818184,0.3071818183999997,-0.04611595517529644
Rice,2005,Winter     ,Meghalaya,63602.0,124605,3374.4,7627151.84,13356.42,1.971428571,2.5521818184,0.5807532473999999,-0.04611595517529644
Wheat,2005,Rabi       ,Meghalaya,670.0,1198,3374.4,80346.4,140.7,1.306666667,1.6378,0.3311333329999999,-0.00508177570093457
Rice,2005,Kharif     ,Tamil Nadu,2050455.0,5209433,1364.1,245890563.6,430595.55,2.895517241,4.2939447004,1.3984274594000001,-0.03916288575278614
Rice,2005,Autumn     ,West Bengal,288129.0,605612,1650.1,34552429.68,60507.09,2.116111111,3.1652222222,1.0491111112000002,-0.02538314263621085
Rice,2005,Summer     ,West Bengal,1381957.0,4047038,1650.1,165724283.4,290210.97,2.767222222,3.1652222222,0.39800000020000015,-0.02538314263621085
Rice,2005,Winter     ,West Bengal,4112863.0,9858092,1650.1,493214531.0,863701.23,2.317222222,3.1652222222,0.8480000002000003,-0.02538314263621085
Wheat,2005,Rabi       ,West Bengal,366729.0,773514,1650.1,43978141.68,77013.09,1.953333333,2.603,0.6496666670000002,-0.02663665735044556
Rice,2006,Kharif     ,Puducherry,5010.0,13285,1434.5875,639827.1,1102.2,2.64,3.5283333335,0.8883333334999999,-0.026797647981538435
Rice,2006,Summer     ,Puducherry,4574.0,13942,1434.5875,584145.54,1006.28,3.05,3.5283333335,0.4783333335000002,-0.026797647981538435
Rice,2006,Autumn     ,Meghalaya,32679.0,44736,2454.7,4173435.09,7189.38,1.641428571,2.5521818184,0.9107532473999997,-0.04611595517529644
Rice,2006,Rabi       ,Meghalaya,9854.0,39940,2454.7,1258454.34,2167.88,2.077142857,2.5521818184,0.4750389613999997,-0.04611595517529644
Rice,2006,Winter     ,Meghalaya,61752.0,115533,2454.7,7886347.92,13585.44,1.852857143,2.5521818184,0.6993246753999998,-0.04611595517529644
Wheat,2006,Rabi       ,Meghalaya,656.0,1183,2454.7,83777.76,144.32,1.32,1.6378,0.31779999999999986,-0.00508177570093457
Rice,2006,Kharif     ,Andhra Pradesh,2640870.0,6949186,845.2,337265507.7,580991.4,2.689090909,3.606538462,0.9174475530000001,-0.040348145789222745
Rice,2006,Rabi       ,Andhra Pradesh,1337020.0,4922944,845.2,170750824.2,294144.4,3.036818182,3.606538462,0.5697202799999999,-0.040348145789222745
Wheat,2006,Rabi       ,Andhra Pradesh,10016.0,8796,845.2,1279143.36,2203.52,0.68,1.2896666668999999,0.6096666668999998,0.0010057755036590808
Rice,2006,Autumn     ,Assam,379441.0,335708,1774.9,48458410.11,83477.02,1.028148148,2.4883846153999998,1.4602364673999997,-0.028511385842826392
Rice,2006,Summer     ,Assam,312471.0,630162,1774.9,39905671.41,68743.62,1.837037037,2.4883846153999998,0.6513475783999998,-0.028511385842826392
Rice,2006,Winter     ,Assam,1504647.0,1950144,1774.9,192158468.4,331022.34,1.269259259,2.4883846153999998,1.2191253563999997,-0.028511385842826392
Wheat,2006,Rabi       ,Assam,59573.0,67413,1774.9,7608067.83,13106.06,1.134444444,1.2713466664000002,0.13690222240000005,-0.0038919316481200567
Rice,2006,Kharif     ,Karnataka,1066981.0,2723038,1146.3,136264143.5,234735.82,2.428148148,2.9473214288,0.5191732808,-0.02526597494249578
Rice,2006,Rabi       ,Karnataka,44063.0,99796,1146.3,5627285.73,9693.86,2.335333333,2.9473214288,0.6119880958000001,-0.02526597494249578
Rice,2006,Summer     ,Karnataka,284632.0,822692,1146.3,36350352.72,62619.04,2.6825,2.9473214288,0.2648214287999999,-0.02526597494249578
Wheat,2006,Rabi       ,Karnataka,269494.0,223806,1146.3,34417078.74,59288.68,0.810714286,1.0787142858,0.2679999998000001,-0.014056544149348503
